"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"BROWN WOOD PRESERVING","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","LIVE OAK","SUWANNEE","FL","12121","FLD980728935",45.51,"500 year zone","Not in sea level rise area",0,1982-05-01,1983-09-08,1995-09-22,440,168,36731,38090,0.36,0.26,0.22,0.64,0,0.14,30,106,30.3025,-83.01305
"PETROLEUM PRODUCTS CORP.","Recycling","Waste/used oil","PEMBROKE PARK","BROWARD","FL","12011","FLD980798698",40.11,"Not in flood zone","1.5 meter rise",0,1982-12-01,1987-07-22,NA,14814,8110,22301,46046,0.5,0.24,0.38,0.26,0.02,0.33,795,2933,25.9926,-80.1696
"ANODYNE, INC.","Manufacturing/Processing/Maintenance","Other","NORTH MIAMI BEACH","MIAMI-DADE","FL","12086","FLD981014368",34.01,"500 year zone","1.5 meter rise",0,1985-06-10,1990-02-21,NA,15943,5375,20862,62143,0.47,0.28,0.82,0.06,0,0.13,1012,3829,25.92318,-80.22153
"WINGATE ROAD MUNICIPAL INCINERATOR DUMP","Waste Management","Other","FORT LAUDERDALE","BROWARD","FL","12011","FLD981021470",31.72,"100 year zone","Not in sea level rise area",1,1982-05-01,1989-10-04,NA,16446,5818,22233,48086,0.47,0.29,0.94,0.02,0.01,0.04,1116,4399,26.1444,-80.1847
"FLORIDA PETROLEUM REPROCESSORS","Recycling","Waste/used oil","FORT LAUDERDALE","BROWARD","FL","12011","FLD984184127",50,"100 year zone","Not in sea level rise area",0,1996-02-16,1998-03-06,NA,10364,3964,34153,107869,0.57,0.27,0.14,0.41,0.04,0.39,709,2101,26.08194,-80.21555
"RALEIGH STREET DUMP","Waste Management","Illegal disposal/open dump","TAMPA","HILLSBOROUGH","FL","12057","FLD984227249",50,"100 year zone","1.5 meter rise",0,1991-12-20,2009-04-09,NA,1115,455,25082,36711,0.46,0.32,0.16,0.43,0.02,0.4,84,270,27.914931,-82.410918
"JJ SEIFERT MACHINE","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","RUSKIN","HILLSBOROUGH","FL","12057","FLN000410232",50,"Not in flood zone","1.5 meter rise",NA,2008-01-01,2010-03-04,NA,570,388,31563,34024,0.2,0.32,0,0.64,0,0.35,24,98,27.6788,-82.4782
"CEDARTOWN INDUSTRIES, INC.","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","CEDARTOWN","POLK","GA","13233","GAD095840674",42,"100 year zone","Not in sea level rise area",0,1980-08-01,1990-02-21,2006-09-19,470,181,29449,46528,0.41,0.24,0.15,0.66,0,0.18,34,142,34.0082,-85.2636
"LCP CHEMICALS GEORGIA","Manufacturing/Processing/Maintenance","Chemicals and allied products","BRUNSWICK","GLYNN","GA","13127","GAD099303182",NA,"100 year zone","1.5 meter rise",NA,1980-08-01,1996-06-17,NA,3383,1624,24208,38444,0.54,0.33,0.58,0.34,0,0.04,262,856,31.18944,-81.50833
"HERCULES 009 LANDFILL","Waste Management","Industrial waste landfill","BRUNSWICK","GLYNN","GA","13127","GAD980556906",52.58,"500 year zone","Not in sea level rise area",0,1979-11-01,1984-09-21,NA,3961,1912,24208,38444,0.6,0.3,0.5,0.37,0.02,0.07,261,923,31.2049,-81.4858
"BRUNSWICK WOOD PRESERVING","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","BRUNSWICK","GLYNN","GA","13127","GAD981024466",54.49,"100 year zone","Not in sea level rise area",1,1991-03-12,1997-04-01,NA,924,392,38444,55603,0.32,0.16,0.15,0.76,0.01,0.06,52,234,31.24222,-81.52805
"DIAMOND SHAMROCK CORP. LANDFILL","Waste Management","Industrial waste landfill","CEDARTOWN","POLK","GA","13233","GAD990741092",35.6,"100 year zone","Not in sea level rise area",0,1979-11-01,1990-08-30,NA,316,122,29449,46528,0.32,0.23,0.11,0.66,0,0.22,23,88,34.0207,-85.2717
"PEARL HARBOR NAVAL COMPLEX","Manufacturing/Processing/Maintenance","Other","PEARL HARBOR","HONOLULU","HI","15003","HI4170090076",70.82,"100 year zone","Not in sea level rise area",1,1980-10-01,1992-10-14,NA,13548,3495,43417,95224,0.54,0.08,0.02,0.1,0.58,0.12,1195,3116,21.38888,-157.98333
"ELECTRO-COATINGS, INC.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","CEDAR RAPIDS","LINN","IA","19113","IAD005279039",42.24,"500 year zone","Not in sea level rise area",0,1983-11-28,1989-10-04,NA,6516,2959,23899,88722,0.42,0.17,0.06,0.85,0.03,0.03,293,1126,41.9953,-91.67138
"WHITE FARM EQUIPMENT CO. DUMP","Waste Management","Other","CHARLES CITY","FLOYD","IA","19067","IAD065210734",53.42,"100 year zone","Not in sea level rise area",1,1985-01-01,1990-08-30,2000-10-30,1478,775,36109,51843,0.42,0.13,0.01,0.88,0.01,0.04,135,378,43.085,-92.68078
"LABOUNTY","Waste Management","Other","CHARLES CITY","FLOYD","IA","19067","IAD980631063",70.73,"100 year zone","Not in sea level rise area",NA,1980-04-01,1983-09-08,1993-10-06,1554,757,36109,51843,0.35,0.18,0.05,0.91,0.01,0.03,81,327,43.058,-92.6696
"PETERSEN SAND & GRAVEL","Waste Management","Industrial waste facility (non-generator)","LIBERTYVILLE","LAKE","IL","17097","ILD003817137",38.43,"100 year zone","Not in sea level rise area",0,1980-09-01,1986-06-10,1991-02-11,1860,684,88915,162961,0.11,0.03,0.02,0.86,0.09,0.03,79,452,42.31583,-87.9537
"LENZ OIL SERVICE, INC.","Other","Product storage/distribution","LEMONT","DUPAGE","IL","17043","ILD005451711",42.33,"100 year zone","Not in sea level rise area",0,1984-02-01,1989-10-04,NA,2510,931,63594,69474,0.21,0.11,0.08,0.64,0.11,0.12,164,560,41.7068,-87.9422
"A & F MATERIAL RECLAIMING, INC.","Recycling","Multiple","GREENUP","CUMBERLAND","IL","17035","ILD980397079",55.49,"100 year zone","Not in sea level rise area",0,1979-10-01,1983-09-08,2012-06-11,85,39,41563,49129,0.21,0.18,0,1,0,0,6,20,39.2439,-88.174
"CROSS BROTHERS PAIL RECYCLING (PEMBROKE)","Recycling","Drums/tanks","PEMBROKE TOWNSHIP","KANKAKEE","IL","17091","ILD980792303",42.04,"500 year zone","Not in sea level rise area",0,1980-04-01,1983-09-08,NA,126,59,25979,25979,0.46,0.34,0.8,0.1,0.01,0.07,5,30,41.0909,-87.5893
"ILADA ENERGY CO.","Recycling","Waste/used oil","EAST CAPE GIRARDEAU","ALEXANDER","IL","17003","ILD980996789",34.21,"100 year zone","Not in sea level rise area",0,1985-06-17,1989-10-04,2001-01-08,209,89,33051,33125,0.25,0.25,0.05,0.88,0.02,0.03,14,48,37.2584,-89.4635
"SEYMOUR RECYCLING CORP.","Recycling","Unknown","SEYMOUR","JACKSON","IN","18071","IND040313017",NA,"100 year zone","Not in sea level rise area",1,1979-04-01,1983-09-08,NA,711,311,44608,61875,0.23,0.1,0.02,0.89,0.02,0.06,44,151,38.9352,-85.9213
"U.S. SMELTER AND LEAD REFINERY, INC.","Multiple","Multiple","EAST CHICAGO","LAKE","IN","18089","IND047030226",70.71,"100 year zone","Not in sea level rise area",0,1980-01-01,2009-04-09,NA,5872,2436,16575,49067,0.43,0.28,0.24,0.3,0.01,0.44,316,1526,41.616758,-87.464046
"GARY DEVELOPMENT LANDFILL","Waste Management","Municipal solid waste landfill","GARY","LAKE","IN","18089","IND077005916",30,"100 year zone","Not in sea level rise area",NA,1979-04-01,2011-09-16,NA,1322,431,88908,88908,0.09,0.05,0.06,0.75,0.02,0.17,64,370,41.365062,-87.253521
"COLUMBUS OLD MUNICIPAL LANDFILL #1","Waste Management","Co-disposal landfill (municipal and industrial)","COLUMBUS","BARTHOLOMEW","IN","18005","IND980607626",45.31,"100 year zone","Not in sea level rise area",0,1981-08-01,1986-06-10,NA,3135,1483,37128,93991,0.61,0.21,0.05,0.8,0.05,0.09,215,713,39.1974,-85.926
"FORT WAYNE REDUCTION DUMP","Waste Management","Industrial waste landfill","FORT WAYNE","ALLEN","IN","18003","IND980679542",42.47,"500 year zone","Not in sea level rise area",0,1982-08-01,1986-06-10,NA,3403,1532,25203,58209,0.34,0.19,0.06,0.83,0.01,0.08,225,813,41.075,-85.06666
"MAIN STREET WELL FIELD","Other","Ground water plume site with no identifiable source","ELKHART","ELKHART","IN","18039","IND980794358",42.49,"100 year zone","Not in sea level rise area",0,1982-06-01,1983-09-08,NA,7232,3468,22212,51635,0.5,0.17,0.07,0.75,0.01,0.14,630,1798,41.69638,-85.97916
"KEYSTONE CORRIDOR GROUND WATER CONTAMINATION","Other","Ground water plume site with no identifiable source","INDIANAPOLIS","MARION","IN","18097","INN000510399",50,"100 year zone","Not in sea level rise area",NA,2009-03-31,NA,NA,10411,5564,21361,52878,0.67,0.29,0.65,0.24,0.01,0.04,725,2230,39.834821,-86.121713
"FORT RILEY","Other","Military/Other Ordinance","JUNCTION CITY","GEARY","KS","20061","KS6214020756",33.79,"100 year zone","Not in sea level rise area",0,1984-08-01,1990-08-30,NA,0,0,Inf,-Inf,NA,NA,NA,NA,NA,NA,0,0,39.16666,-96.75
"29TH & MEAD GROUND WATER CONTAMINATION","Other","Ground water plume site with no identifiable source","WICHITA","SEDGWICK","KS","20173","KSD007241656",42.79,"500 year zone","Not in sea level rise area",0,1981-10-01,1990-02-21,1996-04-29,5540,2244,16627,81389,0.44,0.37,0.29,0.26,0.01,0.43,552,1733,37.7336,-97.3266
"OBEE ROAD","Waste Management","Industrial waste landfill","HUTCHINSON","RENO","KS","20155","KSD980631766",33.62,"500 year zone","Not in sea level rise area",0,1981-05-01,1987-07-22,NA,489,187,68169,68169,0.09,0.01,0.02,0.92,0,0.04,16,98,38.06388,-97.85138
"STROTHER FIELD INDUSTRIAL PARK","Other","Ground water plume site with no identifiable source","WINFIELD","COWLEY","KS","20035","KSD980862726",33.62,"100 year zone","Not in sea level rise area",1,1984-07-01,1986-06-10,NA,52,25,66250,66250,0.1,0.1,0.02,0.94,0,0.02,2,12,37.17083,-97.03193
"B.F. GOODRICH","Waste Management","Industrial waste facility (non-generator)","CALVERT CITY","MARSHALL","KY","21157","KYD006370167",33.01,"100 year zone","Not in sea level rise area",1,1979-11-01,1983-09-08,NA,318,145,42306,47517,0.26,0.14,0,0.96,0,0.02,21,73,37.0503,-88.3234
"AIRCO","Waste Management","Industrial waste landfill","CALVERT CITY","MARSHALL","KY","21157","KYD041981010",35.19,"100 year zone","Not in sea level rise area",1,1980-01-01,1984-09-21,NA,321,146,42306,47517,0.26,0.14,0,0.96,0,0.02,22,75,37.0496,-88.3225
"LEE'S LANE LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","LOUISVILLE","JEFFERSON","KY","21111","KYD980557052",39.52,"500 year zone","Not in sea level rise area",1,1979-11-01,1983-09-08,1996-04-25,1487,648,32411,61094,0.24,0.2,0.13,0.8,0,0.04,137,400,38.19111,-85.88306
"DISTLER FARM","Waste Management","Industrial waste facility (non-generator)","JEFFERSON COUNTY","JEFFERSON","KY","21111","KYD980601975",34.62,"100 year zone","Not in sea level rise area",0,1979-06-01,1983-09-08,NA,795,347,31974,58029,0.29,0.19,0.05,0.92,0,0.01,51,223,38.00693,-85.93111
"DISTLER BRICKYARD","Waste Management","Industrial waste facility (non-generator)","WEST POINT","HARDIN","KY","21093","KYD980602155",44.77,"500 year zone","Not in sea level rise area",0,1979-11-01,1983-09-08,NA,495,243,31974,58029,0.4,0.3,0,0.89,0.01,0.05,48,153,37.98971,-85.95138
"NEWPORT DUMP","Waste Management","Co-disposal landfill (municipal and industrial)","NEWPORT","CAMPBELL","KY","21037","KYD985066380",37.63,"500 year zone","Not in sea level rise area",0,1979-11-01,1983-09-08,1996-06-03,15396,7324,16577,56656,0.55,0.36,0.15,0.77,0,0.04,1331,3821,39.07072,-84.49122
"NATIONAL ELECTRIC COIL CO./COOPER INDUSTRIES","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","DAYHOIT","HARLAN","KY","21095","KYD985069954",50,"100 year zone","Not in sea level rise area",0,1989-03-04,1992-10-14,NA,486,239,25580,40119,0.35,0.31,0,0.99,0,0,28,102,36.84388,-83.37138
"MALLARD BAY LANDING BULK PLANT","Manufacturing/Processing/Maintenance","Oil and gas refining","GRAND CHENIERE","CAMERON","LA","22023","LA0000187518",48.55,"100 year zone","Not in sea level rise area",0,1993-04-07,2000-07-27,2005-09-19,16,8,64099,64099,0.17,0.12,0.06,0.88,0,0.06,0,4,29.93401,-92.65546
"SOUTHERN SHIPBUILDING","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","SLIDELL","ST. TAMMANY","LA","22103","LAD008149015",50,"100 year zone","Not in sea level rise area",1,1987-10-01,1995-05-26,1998-06-16,2771,1016,30223,69762,0.29,0.24,0.26,0.58,0,0.11,245,762,30.2725,-89.80083
"SBA SHIPYARD","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","JENNINGS","JEFFERSON DAVIS","LA","22053","LAD008434185",NA,"100 year zone","1.5 meter rise",NA,1984-11-18,2016-09-09,NA,152,63,40012,48939,0.23,0.19,0.07,0.88,0.01,0.03,14,44,30.162556,-92.61254
"DELATTE METALS","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","PONCHATOULA","TANGIPAHOA","LA","22105","LAD052510344",50,"500 year zone","Not in sea level rise area",0,1981-11-01,1999-01-19,2005-08-08,156,67,42219,42219,0.24,0.19,0.16,0.78,0,0.02,8,40,30.4225,-90.41083
"DELTA SHIPYARD",NA,NA,"HOUMA","TERREBONNE","LA","22109","LAD058475419",NA,"Not in flood zone","1 meter rise",NA,1984-09-12,2014-09-22,NA,1444,585,36206,50764,0.31,0.23,0.14,0.71,0,0.04,136,336,29.565818,-90.705141
"CLEVE REBER","Waste Management","Industrial waste facility (non-generator)","SORRENTO","ASCENSION","LA","22005","LAD980501456",48.8,"100 year zone","Not in sea level rise area",1,1978-11-01,1983-09-08,1997-12-30,620,241,85455,85455,0.18,0.15,0.27,0.62,0.01,0.08,48,174,30.155,-90.87333
"OLD INGER OIL REFINERY","Recycling","Waste/used oil","DARROW","ASCENSION","LA","22005","LAD980745533",NA,"500 year zone","Not in sea level rise area",1,1978-08-01,1983-09-08,2008-08-12,540,205,30275,85455,0.17,0.1,0.29,0.61,0.01,0.06,58,158,30.1647,-90.9955
"BAYOU SORREL","Waste Management","Industrial waste facility (non-generator)","BAYOU SORREL","IBERVILLE","LA","22047","LAD980745541",34.69,"100 year zone","Not in sea level rise area",1,1978-08-01,1984-09-21,1997-09-29,96,45,42359,53294,0.16,0.16,0.35,0.61,0,0.03,6,24,30.2244,-91.4095
"BAYOU BONFOUCA","Manufacturing/Processing/Maintenance","Chemicals and allied products","SLIDELL","ST. TAMMANY","LA","22103","LAD980745632",36.75,"100 year zone","Not in sea level rise area",1,1980-06-01,1983-09-08,NA,4427,1751,30223,69762,0.32,0.21,0.22,0.67,0,0.08,322,1102,30.28221,-89.78416
"DUTCHTOWN TREATMENT PLANT","Recycling","Waste/used oil","ASCENSION PARISH","ASCENSION","LA","22005","LAD980879449",36.41,"500 year zone","Not in sea level rise area",0,1984-10-01,1987-07-22,1999-11-16,2446,910,56206,85455,0.23,0.08,0.19,0.71,0.01,0.05,136,748,30.25666,-90.98
"AGRICULTURE STREET LANDFILL","Waste Management","Municipal solid waste landfill","NEW ORLEANS","ORLEANS","LA","22071","LAD981056997",50,"500 year zone","Not in sea level rise area",0,1985-07-01,1994-12-16,NA,9595,5224,13095,40159,0.52,0.38,0.9,0.05,0,0.03,606,2246,29.98866,-90.04016
"D.L. MUD, INC.","Other","Other","ABBEVILLE","VERMILION","LA","22113","LAD981058019",32.37,"500 year zone","Not in sea level rise area",0,1985-07-01,1989-10-04,2000-03-07,187,75,60250,60250,0.13,0.08,0,0.98,0.01,0.02,9,48,29.9555,-92.1867
"RUSTON FOUNDRY","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","ALEXANDRIA","RAPIDES","LA","22079","LAD985185107",43.17,"100 year zone","Not in sea level rise area",1,1990-10-01,1999-05-10,2010-07-13,6527,3194,17863,34025,0.62,0.38,0.88,0.09,0.01,0,503,1847,31.29722,-92.43958
"EVR-WOOD TREATING/EVANGELINE REFINING COMPANY","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","JENNINGS","ACADIA","LA","22001","LAN000605517",48.2,"Not in flood zone","1.5 meter rise",NA,2003-03-10,2012-09-18,NA,284,114,38782,49607,0.21,0.17,0.09,0.88,0,0,24,73,30.248056,-92.6175
"MATERIALS TECHNOLOGY LABORATORY (USARMY)","Manufacturing/Processing/Maintenance","Ordnance production","WATERTOWN","MIDDLESEX","MA","25017","MA0213820939",48.57,"100 year zone","Not in sea level rise area",0,1981-06-01,1994-05-31,2006-11-21,26313,12169,51776,177083,0.56,0.12,0.05,0.73,0.11,0.09,1369,3993,42.36041,-71.16611
"FORT DEVENS","Waste Management","Co-disposal landfill (municipal and industrial)","FORT DEVENS","MIDDLESEX","MA","25017","MA7210025154",42.24,"100 year zone","Not in sea level rise area",0,1984-05-01,1989-11-21,NA,976,339,74659,126061,0.2,0.1,0.07,0.81,0.04,0.06,46,215,42.53611,-71.59611
"ATLAS TACK CORP.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","FAIRHAVEN","BRISTOL","MA","25005","MAD001026319",42.6,"500 year zone","Not in sea level rise area",0,1980-11-01,1990-02-21,NA,4736,2179,13399,74500,0.36,0.13,0.02,0.87,0.04,0.03,257,866,41.63556,-70.89445
"CREESE & COOK TANNERY (FORMER)","Manufacturing/Processing/Maintenance","Tanneries","DANVERS","ESSEX","MA","25009","MAD001031574",60.57,"Not in flood zone","1.5 meter rise",NA,1979-12-01,2013-05-24,NA,9288,4019,51110,90357,0.37,0.06,0.01,0.92,0.02,0.03,421,1839,42.553056,-70.926667
"HAVERHILL MUNICIPAL LANDFILL","Waste Management","Municipal solid waste landfill","HAVERHILL","ESSEX","MA","25009","MAD980523336",30.29,"Not in flood zone","1 meter rise",NA,1979-11-01,1986-06-10,NA,3491,1334,76563,95208,0.17,0.07,0.02,0.94,0.01,0.03,218,803,42.75388,-71.04666
"PLYMOUTH HARBOR/CANNON ENGINEERING CORP.","Waste Management","Industrial waste facility (non-generator)","PLYMOUTH","PLYMOUTH","MA","25023","MAD980525232",54.82,"Not in flood zone","1.5 meter rise",0,1982-04-01,1983-09-08,1993-11-19,3185,1393,51319,97857,0.48,0.11,0.03,0.92,0,0.03,177,674,41.9796,-70.6854
"NEW BEDFORD","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","NEW BEDFORD","BRISTOL","MA","25005","MAD980731335",NA,"100 year zone","1 meter rise",1,1979-07-01,1983-09-08,NA,18501,8922,13399,68242,0.69,0.3,0.1,0.57,0.03,0.19,1075,3763,41.64317,-70.91988
"PSC RESOURCES","Recycling","Waste/used oil","PALMER","HAMPDEN","MA","25013","MAD980731483",38.66,"100 year zone","Not in sea level rise area",1,1980-11-01,1983-09-08,NA,780,342,53693,53693,0.2,0.07,0,0.97,0,0.02,30,160,42.15333,-72.33028
"WELLS G&H","Other","Ground water plume site with no identifiable source","WOBURN","MIDDLESEX","MA","25017","MAD980732168",55.7,"100 year zone","Not in sea level rise area",1,1979-12-01,1983-09-08,NA,10112,3969,67661,104318,0.37,0.07,0.03,0.87,0.05,0.03,562,2067,42.49471,-71.13083
"HOCOMONCO POND","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","WESTBOROUGH","WORCESTER","MA","25027","MAD980732341",44.8,"500 year zone","Not in sea level rise area",1,1982-09-01,1983-09-08,NA,2615,1007,84349,125292,0.51,0.05,0.03,0.49,0.42,0.03,253,703,42.27278,-71.65083
"SPECTRON, INC.","Recycling","Chemicals/chemical waste (e.g., solvent recovery)","ELKTON","CECIL","MD","24015","MDD000218008",51.42,"100 year zone","Not in sea level rise area",1,1979-07-01,1994-05-31,NA,658,267,64000,64000,0.1,0.05,0.01,0.96,0,0.01,30,121,39.69124,-75.87777
"SAUER DUMP","Waste Management","Industrial waste landfill","DUNDALK","BALTIMORE","MD","24005","MDD981038334",50,"Not in flood zone","1.5 meter rise",NA,1984-06-01,2012-03-15,NA,2047,837,51049,81336,0.16,0.08,0.1,0.82,0.02,0.03,105,405,39.270267,-76.45271
"PORTSMOUTH NAVAL SHIPYARD","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","KITTERY","YORK","ME","23031","ME7170022019",50,"Not in flood zone","1.5 meter rise",1,1981-06-01,1994-05-31,NA,3116,1693,62250,98929,0.49,0.03,0.01,0.93,0.02,0.02,141,431,43.08416,-70.74166
"CALLAHAN MINING CORP","Mining","Metals","BROOKSVILLE (CAPE ROSIER)","HANCOCK","ME","23009","MED980524128",50,"Not in flood zone","1 meter rise",1,1981-10-01,2002-09-05,NA,84,67,43239,51591,0.14,0.13,0,0.94,0.01,0.02,2,12,44.35163,-68.81013
"O'CONNOR CO.","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","AUGUSTA","KENNEBEC","ME","23011","MED980731475",31.86,"100 year zone","Not in sea level rise area",0,1980-03-01,1983-09-08,NA,1025,398,42145,49418,0.43,0.19,0,0.89,0.02,0.03,61,225,44.30191,-69.73694
"BUTTERWORTH #2 LANDFILL","Waste Management","Industrial waste landfill","GRAND RAPIDS","KENT","MI","26081","MID062222997",50.31,"100 year zone","Not in sea level rise area",1,1979-12-01,1983-09-08,NA,7477,2908,23659,54926,0.49,0.38,0.11,0.49,0.01,0.38,667,2130,42.95221,-85.70028
"AUTO ION CHEMICALS, INC.","Waste Management","Industrial waste facility (non-generator)","KALAMAZOO","KALAMAZOO","MI","26077","MID980794382",32.07,"500 year zone","Not in sea level rise area",0,1975-01-01,1983-09-08,NA,7206,2911,19049,47394,0.54,0.46,0.41,0.4,0.01,0.1,498,2052,42.29388,-85.56721
"LOWER ECORSE CREEK DUMP","Waste Management","Illegal disposal/open dump","WYANDOTTE","WAYNE","MI","26163","MID985574227",NA,"100 year zone","Not in sea level rise area",0,1991-10-01,1994-05-31,2005-07-01,15118,6835,24375,58333,0.27,0.18,0.06,0.78,0,0.13,966,3437,42.23416,-83.15777
"ANNAPOLIS LEAD MINE","Mining","Metals","ANNAPOLIS","IRON","MO","29093","MO0000958611",56.67,"100 year zone","Not in sea level rise area",1,1993-11-05,2004-07-22,NA,35,20,31926,31926,0.29,0.29,0.09,0.89,0,0,2,9,37.35555,-90.675
"TIMES BEACH","Other","Dust control","TIMES BEACH","ST. LOUIS","MO","29189","MOD980685226",40.08,"100 year zone","Not in sea level rise area",0,1982-03-01,1983-09-08,2001-09-25,1149,397,57059,91645,0.1,0.04,0.02,0.92,0.02,0.02,50,298,38.50833,-90.60166
"LEE CHEMICAL","Manufacturing/Processing/Maintenance","Chemicals and allied products","LIBERTY","CLAY","MO","29047","MOD980853519",46.81,"100 year zone","Not in sea level rise area",0,1983-03-01,1986-06-10,NA,694,269,63571,76290,0.24,0.09,0.03,0.9,0,0.04,40,188,39.20111,-94.3925
"VALLEY PARK TCE","Other","Ground water plume site with no identifiable source","VALLEY PARK","ST. LOUIS","MO","29189","MOD980968341",35.57,"100 year zone","Not in sea level rise area",0,1985-02-01,1986-06-10,NA,4258,2202,59679,91524,0.48,0.09,0.01,0.88,0.07,0.02,217,683,38.55278,-90.46666
"IDAHO POLE CO.","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","BOZEMAN","GALLATIN","MT","30031","MTD006232276",38.29,"500 year zone","Not in sea level rise area",1,1980-08-01,1986-06-10,NA,4127,2144,29393,71250,0.63,0.18,0,0.9,0.01,0.04,197,583,45.68833,-111.0217
"MOUAT INDUSTRIES","Manufacturing/Processing/Maintenance","Chemicals and allied products","COLUMBUS","STILLWATER","MT","30095","MTD021997689",31.66,"100 year zone","Not in sea level rise area",NA,1979-07-01,1986-06-10,NA,41,19,54273,54273,0.19,0.1,0,0.93,0,0.05,3,10,45.628415,-109.241781
"ANACONDA ALUMINUM CO COLUMBIA FALLS REDUCTION PLANT",NA,NA,"COLUMBIA FALLS","FLATHEAD","MT","30029","MTD057561763",NA,"100 year zone","Not in sea level rise area",NA,1988-11-11,2016-09-09,NA,345,149,36505,54861,0.22,0.13,0,0.92,0,0.03,15,78,48.387875,-114.130297
"LIBBY GROUND WATER CONTAMINATION","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","LIBBY","LINCOLN","MT","30053","MTD980502736",37.7,"500 year zone","Not in sea level rise area",1,1979-07-01,1983-09-08,NA,856,463,22481,46321,0.41,0.26,0,0.96,0.02,0.01,64,189,48.38,-115.5389
"CAROLINA TRANSFORMER CO.","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","FAYETTEVILLE","CUMBERLAND","NC","37051","NCD003188844",33.76,"500 year zone","Not in sea level rise area",0,1978-12-01,1987-07-22,NA,726,338,20587,42004,0.55,0.31,0.57,0.31,0.02,0.04,41,143,35.06333,-78.845
"WRIGHT CHEMICAL CORPORATION","Manufacturing/Processing/Maintenance","Chemicals and allied products","RIEGELWOOD","COLUMBUS","NC","37047","NCD024766719",48.03,"100 year zone","1 meter rise",NA,1983-03-01,2011-03-10,NA,218,99,37092,37092,0.18,0.14,0.42,0.43,0,0.11,11,51,34.3284,-78.2051
"GENERAL ELECTRIC CO/SHEPHERD FARM","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","EAST FLAT ROCK","HENDERSON","NC","37089","NCD079044426",70.71,"100 year zone","Not in sea level rise area",1,1980-08-01,1994-12-16,NA,1558,1062,24683,63783,0.39,0.26,0.03,0.8,0,0.15,25,176,35.27222,-82.41111
"FCX, INC. (WASHINGTON PLANT)","Other","Product storage/distribution","WASHINGTON","BEAUFORT","NC","37013","NCD981475932",40.39,"500 year zone","Not in sea level rise area",0,1986-06-11,1989-03-31,NA,2611,1382,29309,37188,0.56,0.27,0.49,0.46,0,0.06,165,550,35.55958,-77.07445
