"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"HORTON IRON AND METAL","Manufacturing/Processing/Maintenance","Primary metals/mineral processing","WILMINGTON","NEW HANOVER","NC","37129","NCN000407480",48.03,"100 year zone","1.5 meter rise",NA,2002-07-11,2011-09-16,NA,1003,427,22957,43660,0.46,0.3,0.45,0.44,0,0.08,84,230,34.268058,-77.953889
"CORNHUSKER ARMY AMMUNITION PLANT","Manufacturing/Processing/Maintenance","Ordnance production","GRAND ISLAND","HALL","NE","31079","NE2213820234",51.13,"100 year zone","Not in sea level rise area",0,1981-05-28,1987-07-22,NA,37,14,62813,62813,0.23,0.06,0,0.89,0,0.11,2,10,40.92333,-98.4925
"BRUNO CO-OP ASSOCIATION/ASSOCIATED PROPERTIES","Other","Ground water plume site with no identifiable source","BRUNO","BUTLER","NE","31023","NED981713829",50,"100 year zone","Not in sea level rise area",0,1987-02-13,1996-06-17,NA,32,17,57292,57292,0.14,0.06,0,0.97,0,0.03,2,7,41.28472,-96.95972
"10TH STREET SITE","Other","Ground water plume site with no identifiable source","COLUMBUS","PLATTE","NE","31141","NED981713837",28.9,"500 year zone","Not in sea level rise area",0,1987-02-13,1990-08-30,NA,5536,2379,44458,65729,0.34,0.1,0,0.7,0,0.27,455,1487,41.42656,-97.36221
"OLD HWY 275 AND N 288TH STREET",NA,NA,"VALLEY","DOUGLAS","NE","31055","NEN000704272",NA,"100 year zone","Not in sea level rise area",NA,NA,2017-08-02,NA,217,110,52708,52708,0.37,0.15,0.02,0.93,0,0.02,16,44,41.33012,-96.36524
"FLETCHER'S PAINT WORKS & STORAGE","Multiple","Multiple","MILFORD","HILLSBOROUGH","NH","33011","NHD001079649",35.39,"100 year zone","Not in sea level rise area",1,1985-06-25,1989-03-31,NA,4357,2025,45605,131149,0.48,0.08,0.01,0.91,0.03,0.02,218,948,42.8358,-71.6554
"NEW HAMPSHIRE PLATING CO.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","MERRIMACK","HILLSBOROUGH","NH","33011","NHD001091453",50,"100 year zone","Not in sea level rise area",1,1984-05-01,1992-10-14,NA,2264,1002,64665,111116,0.27,0.05,0,0.95,0.02,0.02,95,449,42.85583,-71.48888
"SAVAGE MUNICIPAL WATER SUPPLY","Other","Ground water plume site with no identifiable source","MILFORD","HILLSBOROUGH","NH","33011","NHD980671002",37.52,"500 year zone","Not in sea level rise area",0,1983-05-01,1984-09-21,NA,2639,1158,45605,94303,0.41,0.06,0.01,0.9,0.04,0.03,129,607,42.8418,-71.6884
"SOUTH MUNICIPAL WATER SUPPLY WELL","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","PETERBOROUGH","HILLSBOROUGH","NH","33011","NHD980671069",35.64,"100 year zone","Not in sea level rise area",0,1983-05-01,1984-09-21,NA,523,274,60529,83772,0.35,0.06,0,0.98,0.01,0.01,3,79,42.8502,-71.9654
"CHLOR-ALKALI FACILITY (FORMER)","Manufacturing/Processing/Maintenance","Chemicals and allied products","BERLIN","COOS","NH","33007","NHN000103313",30.54,"100 year zone","Not in sea level rise area",NA,2004-01-06,2005-09-14,NA,1466,684,28750,46910,0.41,0.25,0.08,0.85,0,0.04,65,240,44.47919,-71.16719
"GRAND STREET MERCURY","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","HOBOKEN","HUDSON","NJ","34017","NJ0001327733",NA,"100 year zone","1.5 meter rise",0,1995-12-22,1997-09-25,2007-09-18,97446,44857,30625,209896,0.71,0.15,0.05,0.47,0.12,0.36,6935,16920,40.74611,-74.03444
"QUANTA RESOURCES","Multiple","Multiple","EDGEWATER","BERGEN","NJ","34003","NJD000606442",50,"100 year zone","1 meter rise",1,1981-06-01,2002-09-05,NA,77444,38543,39414,137344,0.66,0.11,0.05,0.52,0.11,0.31,4311,12204,40.8043,-73.98916
"CHEMICAL CONTROL","Waste Management","Industrial waste facility (non-generator)","ELIZABETH","UNION","NJ","34039","NJD000607481",47.13,"100 year zone","1.5 meter rise",0,1979-05-01,1983-09-08,NA,26224,8543,32460,84559,0.73,0.24,0.19,0.1,0.01,0.71,2589,8422,40.6432,-74.1935
"UNIVERSAL OIL PRODUCTS (CHEMICAL DIVISION)","Manufacturing/Processing/Maintenance","Chemicals and allied products","EAST RUTHERFORD","BERGEN","NJ","34003","NJD002005106",54.63,"100 year zone","Not in sea level rise area",1,1981-05-01,1983-09-08,NA,8356,3429,55179,107644,0.54,0.09,0.04,0.59,0.15,0.21,460,1639,40.83,-74.08888
"PIERSON'S CREEK",NA,NA,"NEWARK","ESSEX","NJ","34013","NJD002144517",NA,"100 year zone","1 meter rise",NA,NA,2014-09-22,NA,23531,6889,33407,61213,0.78,0.18,0.12,0.4,0,0.4,1535,4639,40.7163,-74.1452
"ORANGE VALLEY REGIONAL GROUND WATER CONTAMINATION","Other","Retail/commercial","WEST ORANGE/ORANGE","ESSEX","NJ","34013","NJD002148799",50,"100 year zone","Not in sea level rise area",NA,1992-02-28,2012-09-18,NA,32635,13376,27269,119135,0.67,0.19,0.6,0.14,0.03,0.22,2452,7912,40.769825,-74.243479
"STANDARD CHLORINE","Manufacturing/Processing/Maintenance","Chemicals and allied products","KEARNY","HUDSON","NJ","34017","NJD002175057",50,"100 year zone","1.5 meter rise",NA,1980-07-01,2007-09-19,NA,2821,1033,40341,96786,0.67,0.15,0.13,0.38,0.16,0.33,216,593,40.75,-74.09722
"HERCULES, INC. (GIBBSTOWN PLANT)","Waste Management","Industrial waste facility (non-generator)","GIBBSTOWN","GLOUCESTER","NJ","34015","NJD002349058",40.36,"100 year zone","1 meter rise",1,1980-09-01,1983-09-08,NA,1283,576,53897,64652,0.19,0.08,0.02,0.93,0.01,0.02,43,257,39.83888,-75.27778
"MATTEO & SONS INC.","Waste Management","Industrial waste landfill","THOROFARE","GLOUCESTER","NJ","34015","NJD011770013",50,"100 year zone","1.5 meter rise",NA,1996-06-24,2006-09-27,NA,5145,2126,60341,72589,0.24,0.07,0.06,0.89,0.01,0.03,284,1098,39.85559,-75.1727
"MARTIN AARON, INC.","Recycling","Drums/tanks","CAMDEN","CAMDEN","NJ","34007","NJD014623854",50,"100 year zone","1.5 meter rise",1,1986-08-01,1999-07-22,NA,17249,7588,12015,101984,0.7,0.45,0.65,0.04,0,0.36,2085,5961,39.92611,-75.11916
"CHEMICAL LEAMAN TANK LINES, INC.","Other","Transportation (e.g., railroad yards, airport, barge docking site)","BRIDGEPORT","GLOUCESTER","NJ","34015","NJD047321443",47.53,"Not in flood zone","1 meter rise",0,1981-06-01,1984-09-21,NA,710,256,87200,87200,0.04,0.06,0.09,0.81,0.02,0.04,32,183,39.79833,-75.33278
"KIN-BUC LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","EDISON TOWNSHIP","MIDDLESEX","NJ","34023","NJD049860836",50.64,"100 year zone","Not in sea level rise area",1,1974-09-01,1983-09-08,NA,3322,1254,60357,106196,0.38,0.06,0.1,0.44,0.3,0.15,235,691,40.4891,-74.3785
"BRIDGEPORT RENTAL & OIL SERVICES","Recycling","Waste/used oil","BRIDGEPORT","GLOUCESTER","NJ","34015","NJD053292652",60.73,"Not in flood zone","1 meter rise",0,1979-10-01,1983-09-08,NA,710,256,87200,87200,0.04,0.06,0.09,0.81,0.02,0.04,32,183,39.80166,-75.32166
"NL INDUSTRIES","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","PEDRICKTOWN (OLDMANS TOWN","SALEM","NJ","34033","NJD061843249",52.96,"Not in flood zone","1 meter rise",0,1981-06-01,1983-09-08,NA,273,108,72045,72045,0.12,0.07,0.04,0.9,0.01,0.03,19,63,39.75806,-75.42471
"SYNCON RESINS","Manufacturing/Processing/Maintenance","Chemicals and allied products","SOUTH KEARNY","HUDSON","NJ","34017","NJD064263817",43.43,"100 year zone","1 meter rise",0,1984-04-10,1983-09-08,NA,5409,1975,33407,64143,0.74,0.26,0.15,0.32,0.01,0.47,508,1400,40.73778,-74.11471
"SCIENTIFIC CHEMICAL PROCESSING","Recycling","Chemicals/chemical waste (e.g., solvent recovery)","CARLSTADT","BERGEN","NJ","34003","NJD070565403",55.97,"100 year zone","1.5 meter rise",1,1981-06-01,1983-09-08,NA,4873,1973,55179,96824,0.56,0.09,0.04,0.55,0.13,0.28,249,937,40.82454,-74.07432
"BROOK INDUSTRIAL PARK","Manufacturing/Processing/Maintenance","Multiple","BOUND BROOK","SOMERSET","NJ","34035","NJD078251675",58.12,"100 year zone","Not in sea level rise area",0,1986-05-01,1989-10-04,NA,14712,6119,49853,108363,0.42,0.09,0.06,0.5,0.04,0.36,1226,3162,40.56013,-74.53611
"LCP CHEMICALS INC.","Manufacturing/Processing/Maintenance","Chemicals and allied products","LINDEN","UNION","NJ","34039","NJD079303020",50,"500 year zone","1.5 meter rise",NA,1981-06-01,1998-07-28,NA,3091,1075,55903,84559,0.45,0.17,0.12,0.43,0.14,0.32,213,740,40.6075,-74.21027
"LANG PROPERTY","Waste Management","Other","PEMBERTON TOWNSHIP","BURLINGTON","NJ","34005","NJD980505382",48.89,"100 year zone","Not in sea level rise area",0,1980-02-01,1983-09-08,NA,1040,381,72169,72169,0.15,0.09,0.16,0.65,0.04,0.13,45,225,39.92916,-74.49445
"SAYREVILLE LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","SAYREVILLE","MIDDLESEX","NJ","34023","NJD980505754",37.05,"100 year zone","Not in sea level rise area",1,1981-05-01,1983-09-08,2011-09-29,9900,3597,47192,96500,0.44,0.1,0.16,0.54,0.1,0.18,576,2395,40.44556,-74.35833
"DIAMOND ALKALI CO.","Manufacturing/Processing/Maintenance","Chemicals and allied products","NEWARK","ESSEX","NJ","34013","NJD980528996",35.4,"500 year zone","Not in sea level rise area",1,1979-11-01,1984-09-21,NA,14061,5099,33407,70913,0.73,0.22,0.1,0.33,0.07,0.44,1230,3432,40.73971,-74.13611
"VENTRON/VELSICOL","Manufacturing/Processing/Maintenance","Chemicals and allied products","WOOD RIDGE BOROUGH","BERGEN","NJ","34003","NJD980529879",51.38,"100 year zone","Not in sea level rise area",1,1974-06-01,1984-09-21,NA,9255,3622,55179,96824,0.34,0.07,0.02,0.69,0.1,0.17,476,1834,40.84,-74.07943
"PIJAK FARM","Waste Management","Industrial waste facility (non-generator)","PLUMSTEAD TOWNSHIP","OCEAN","NJ","34029","NJD980532808",43.48,"100 year zone","Not in sea level rise area",0,1980-02-01,1983-09-08,1997-03-03,1266,448,86694,86694,0.15,0.05,0.04,0.89,0,0.06,77,325,40.07555,-74.49943
"SPENCE FARM","Waste Management","Industrial waste facility (non-generator)","PLUMSTEAD TOWNSHIP","OCEAN","NJ","34029","NJD980532816",45.87,"100 year zone","Not in sea level rise area",0,1980-02-01,1983-09-08,1997-03-03,1266,448,86694,86694,0.15,0.05,0.04,0.89,0,0.06,77,325,40.0789,-74.5061
"U.S. RADIUM CORP.","Manufacturing/Processing/Maintenance","Radioactive products","ORANGE","ESSEX","NJ","34013","NJD980654172",37.79,"100 year zone","Not in sea level rise area",0,1982-08-01,1983-09-08,NA,36768,15322,26875,170433,0.71,0.18,0.61,0.11,0.02,0.26,2311,8956,40.78138,-74.22861
"MYERS PROPERTY","Manufacturing/Processing/Maintenance","Chemicals and allied products","FRANKLIN TOWNSHIP","HUNTERDON","NJ","34019","NJD980654198",33.83,"100 year zone","Not in sea level rise area",0,1980-04-01,1983-09-08,NA,566,211,96591,122527,0.1,0.03,0.04,0.89,0.02,0.05,23,130,40.595,-74.9404
"HORSESHOE ROAD","Multiple","Multiple","SAYREVILLE","MIDDLESEX","NJ","34023","NJD980663678",51.37,"Not in flood zone","1.5 meter rise",0,1982-07-01,1995-09-29,NA,4270,1629,66667,84023,0.27,0.07,0.11,0.59,0.17,0.14,249,927,40.48472,-74.31944
"PUCHACK WELL FIELD","Other","Ground water plume site with no identifiable source","PENNSAUKEN TOWNSHIP","CAMDEN","NJ","34007","NJD981084767",50,"Not in flood zone","1.5 meter rise",0,1987-05-01,1998-03-06,NA,5740,2181,41719,79141,0.22,0.15,0.24,0.36,0.05,0.34,404,1250,39.97666,-75.05194
"ATLANTIC RESOURCES","Recycling","Multiple","SAYREVILLE","MIDDLESEX","NJ","34023","NJD981558430",50,"Not in flood zone","1.5 meter rise",0,1984-04-10,2002-09-05,NA,3668,1418,66667,84023,0.27,0.06,0.1,0.59,0.16,0.14,213,793,40.48611,-74.31944
"WELSBACH & GENERAL GAS MANTLE (CAMDEN RADIATION)","Manufacturing/Processing/Maintenance","Radioactive products","CAMDEN AND GLOUCESTER CIT","CAMDEN","NJ","34007","NJD986620995",41.46,"100 year zone","1.5 meter rise",0,1991-12-01,1996-06-17,NA,12240,5413,12015,101984,0.72,0.45,0.68,0.05,0.01,0.33,1543,4615,39.91972,-75.12194
"FORMER KIL-TONE COMPANY",NA,NA,"VINELAND","CUMBERLAND","NJ","34011","NJN000200874",NA,"Not in flood zone","1.5 meter rise",NA,NA,2016-04-07,NA,470,207,46195,46195,0.33,0.22,0.11,0.74,0.01,0.1,39,128,39.2842,-75.0132
"CROWN VANTAGE LANDFILL","Waste Management","Industrial waste landfill","ALEXANDRIA TOWNSHIP","HUNTERDON","NJ","34019","NJN000204492",50,"500 year zone","Not in sea level rise area",0,2003-08-06,2005-04-27,NA,576,249,88125,115000,0.12,0.05,0.01,0.96,0.01,0.02,19,114,40.55202,-75.07891
"RARITAN BAY SLAG","Other","Other","OLD BRIDGE TWP/SAYREVILLE","MIDDLESEX","NJ","34023","NJN000206276",50,"100 year zone","1.5 meter rise",NA,2008-07-09,2009-11-04,NA,4714,1869,74103,74103,0.21,0.05,0.08,0.72,0.08,0.12,214,834,40.464589,-74.258017
"RIVERSIDE INDUSTRIAL PARK","Manufacturing/Processing/Maintenance","Chemicals and allied products","NEWARK","ESSEX","NJ","34013","NJSFN0204232",50,"100 year zone","1.5 meter rise",NA,2010-02-08,2013-05-24,NA,57403,21369,25349,92660,0.71,0.22,0.15,0.21,0.03,0.6,3933,14213,40.767815,-74.158501
"WOODBROOK ROAD DUMP","Waste Management","Illegal disposal/open dump","SOUTH PLAINFIELD","MIDDLESEX","NJ","34023","NJSFN0204260",50,"100 year zone","Not in sea level rise area",NA,2000-03-08,2003-04-30,NA,8054,2885,100873,114330,0.32,0.04,0.08,0.28,0.55,0.05,565,1922,40.56156,-74.40291
"GRANTS CHLORINATED SOLVENTS","Other","Ground water plume site with no identifiable source","GRANTS","CIBOLA","NM","35006","NM0007271768",50,"100 year zone","Not in sea level rise area",0,1998-09-30,2004-07-22,NA,4017,1533,32620,46617,0.37,0.18,0.01,0.29,0.01,0.53,451,1123,35.15577,-107.84388
"AT & SF (CLOVIS)","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","CLOVIS","CURRY","NM","35009","NMD043158591",33.62,"100 year zone","Not in sea level rise area",1,1980-02-01,1983-09-08,2003-03-17,666,245,31000,36667,0.39,0.25,0.05,0.26,0,0.65,41,184,34.37833,-103.2117
"AT&SF (ALBUQUERQUE)","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","ALBUQUERQUE","BERNALILLO","NM","35001","NMD980622864",50,"500 year zone","Not in sea level rise area",0,1982-04-01,1994-12-16,NA,617,204,24786,35089,0.3,0.31,0.02,0.16,0.01,0.8,41,146,35.03333,-106.65527
"PAGANO SALVAGE","Recycling","Other","LOS LUNAS","VALENCIA","NM","35061","NMD980749980",35.57,"100 year zone","Not in sea level rise area",0,1981-02-01,1989-10-04,1992-10-14,1870,772,37009,50183,0.14,0.21,0.01,0.37,0,0.6,90,416,34.7896,-106.7205
"NORTH RAILROAD AVENUE PLUME","Other","Ground water plume site with no identifiable source","ESPANOLA","RIO ARRIBA","NM","35039","NMD986670156",50,"500 year zone","Not in sea level rise area",0,1990-08-01,1999-01-19,NA,2761,1206,26603,48576,0.4,0.3,0.01,0.1,0.01,0.85,218,706,35.9914,-106.08138
"CARSON RIVER MERCURY SITE","Waste Management","Mine tailings disposal","DAYTON","MONTGOMERY","NV","32019","NVD980813646",39.07,"100 year zone","Not in sea level rise area",0,1983-03-01,1990-08-30,NA,533,218,49000,49471,0.25,0.18,0.01,0.79,0.01,0.14,34,121,39.23195,-119.5892
"CONSOLIDATED IRON AND METAL","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","NEWBURGH","ORANGE","NY","36071","NY0002455756",50,"100 year zone","Not in sea level rise area",0,1999-08-18,2001-06-14,NA,15490,6435,24348,76728,0.74,0.38,0.32,0.16,0,0.52,1575,5602,41.49802,-74.00563
"POLLUTION ABATEMENT SERVICES","Waste Management","Industrial waste facility (non-generator)","OSWEGO","OSWEGO","NY","36075","NYD000511659",NA,"100 year zone","Not in sea level rise area",1,1976-10-01,1983-09-08,NA,2202,1151,32069,53398,0.41,0.22,0.04,0.86,0.01,0.04,149,547,43.47,-76.48333
"OLEAN WELL FIELD","Other","Ground water plume site with no identifiable source","OLEAN","CATTARAUGUS","NY","36009","NYD980528657",44.46,"100 year zone","Not in sea level rise area",0,1982-06-01,1983-09-08,NA,2292,1091,44943,52104,0.38,0.15,0.07,0.91,0.02,0,134,508,42.06943,-78.40471
"SINCLAIR REFINERY","Waste Management","Industrial waste facility (non-generator)","WELLSVILLE","ALLEGANY","NY","36003","NYD980535215",72.01,"100 year zone","Not in sea level rise area",1,1982-05-01,1983-09-08,NA,167,88,40658,47100,0.31,0.19,0.01,0.97,0.01,0.01,9,37,42.1088,-77.9416
"KENTUCKY AVENUE WELL FIELD","Other","Ground water plume site with no identifiable source","HORSEHEADS","CHEMUNG","NY","36015","NYD980650667",39.65,"100 year zone","Not in sea level rise area",1,1982-05-01,1983-09-08,NA,3477,1725,31898,81087,0.46,0.15,0.01,0.91,0.03,0.01,244,757,42.14583,-76.82833
"HUDSON RIVER PCBS","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","HUDSON RIVER","WASHINGTON","NY","36115","NYD980763841",54.66,"100 year zone","Not in sea level rise area",0,1983-07-01,1984-09-21,NA,1102,500,48158,76600,0.39,0.11,0.04,0.93,0,0.01,88,283,43.1102,-73.5765
"SUFFERN VILLAGE WELL FIELD","Manufacturing/Processing/Maintenance","Other","VILLAGE OF SUFFERN","ROCKLAND","NY","36087","NYD980780878",35.57,"100 year zone","Not in sea level rise area",0,1984-09-01,1986-06-10,1993-05-28,5773,2202,61475,116563,0.4,0.09,0.08,0.61,0.04,0.23,317,1287,41.1162,-74.159
"WAPPINGER CREEK",NA,NA,"WAPPINGER FALLS, TOWN OF WAPPINGER, TOWN OF POUGHKEEPSIE","DUTCHESS","NY","36027","NYN000201758",NA,"100 year zone","1.5 meter rise",NA,NA,2016-09-09,NA,6131,2596,57536,99536,0.57,0.12,0.1,0.57,0.09,0.26,322,1282,41.594219,-73.926283
"GOWANUS CANAL","Other","Contaminated sediment site with no identifiable source","BROOKLYN","KINGS","NY","36047","NYN000206222",50,"Not in flood zone","1 meter rise",NA,2008-01-10,2010-03-04,NA,89832,39819,14000,145294,0.7,0.13,0.1,0.57,0.06,0.24,6106,16370,40.672603,-73.997917
"NEWTOWN CREEK","Other","Other","BROOKLYN, QUEENS","QUEENS","NY","36047","NYN000206282",50,"Not in flood zone","1.5 meter rise",NA,2008-08-15,2010-09-29,NA,73320,30822,19518,96146,0.84,0.24,0.12,0.39,0.07,0.44,3957,12443,40.715192,-73.930762
"EIGHTEENMILE CREEK","Other","Contaminated sediment site with no identifiable source","LOCKPORT","NIAGARA","NY","36063","NYN000206456",50,"100 year zone","Not in sea level rise area",NA,2011-03-10,2012-03-15,NA,6612,3411,21750,63925,0.47,0.23,0.09,0.83,0.01,0.05,540,1661,43.1813,-78.689544
"WRIGHT-PATTERSON AIR FORCE BASE","Waste Management","Industrial waste facility (non-generator)","DAYTON","MONTGOMERY","OH","39113","OH7571724312",57.85,"100 year zone","Not in sea level rise area",1,1980-08-01,1989-10-04,NA,1172,316,24456,89821,0.89,0.24,0.14,0.73,0.04,0.07,59,178,39.8071,-84.0697
"UNITED SCRAP LEAD CO., INC.","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","TROY","MIAMI","OH","39109","OHD018392928",58.15,"100 year zone","Not in sea level rise area",1,1983-03-01,1984-09-21,NA,3169,1331,39207,89044,0.31,0.15,0.02,0.95,0.01,0.01,220,768,40.00888,-84.19861
"ALLIED CHEMICAL & IRONTON COKE","Manufacturing/Processing/Maintenance","Multiple","IRONTON","LAWRENCE","OH","39087","OHD043730217",47.05,"500 year zone","Not in sea level rise area",1,1979-04-01,1983-09-08,NA,3674,1697,15036,65900,0.36,0.25,0.04,0.95,0,0.01,261,645,38.5057,-82.658
"BOWERS LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","CIRCLEVILLE","PICKAWAY","OH","39129","OHD980509616",51.8,"100 year zone","Not in sea level rise area",1,1979-04-01,1983-09-08,1997-10-29,871,350,73816,73816,0.08,0.13,0.06,0.93,0,0,54,209,39.6375,-82.96528
"ZANESVILLE WELL FIELD","Other","Ground water plume site with no identifiable source","ZANESVILLE","MUSKINGUM","OH","39119","OHD980794598",35.59,"100 year zone","Not in sea level rise area",0,1982-06-01,1983-09-08,NA,3605,1622,29722,51940,0.46,0.22,0.06,0.89,0,0.01,232,842,39.96778,-81.99223
"PETERS CARTRIDGE FACTORY","Manufacturing/Processing/Maintenance","Ordnance production","KINGS MILLS","WARREN","OH","39165","OHD987051083",50,"100 year zone","Not in sea level rise area",1,1992-12-02,2012-09-18,NA,3531,1370,64571,87466,0.25,0.03,0.02,0.94,0.02,0.01,235,980,39.35069,-84.24222
"MILFORD CONTAMINATED AQUIFER","Other","Spill or other one-time event","MILFORD","CLERMONT","OH","39025","OHSFN0507973",50,"100 year zone","Not in sea level rise area",NA,2000-01-05,2011-03-10,NA,3666,1815,31294,167500,0.5,0.2,0.03,0.94,0.01,0.01,206,797,39.177667,-84.293778
"DOUBLE EAGLE REFINERY CO.","Recycling","Waste/used oil","OKLAHOMA CITY","OKLAHOMA","OK","40109","OKD007188717",30.83,"500 year zone","Not in sea level rise area",0,1980-06-01,1989-03-31,2008-08-21,2789,1386,16199,68750,0.57,0.32,0.58,0.17,0,0.18,250,834,35.46833,-97.47833
"MOSLEY ROAD SANITARY LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","OKLAHOMA CITY","OKLAHOMA","OK","40109","OKD980620868",38.06,"100 year zone","Not in sea level rise area",1,1980-05-01,1990-02-21,2013-09-26,1811,960,24655,65231,0.62,0.24,0.47,0.41,0.01,0.04,171,412,35.5025,-97.41486
"TENTH STREET DUMP/JUNKYARD","Waste Management","Other","OKLAHOMA CITY","OKLAHOMA","OK","40109","OKD980620967",30.98,"100 year zone","Not in sea level rise area",1,1982-04-01,1987-07-22,2000-11-21,3796,1988,16199,40074,0.52,0.3,0.6,0.26,0.01,0.06,283,814,35.47805,-97.45193
"FOURTH STREET ABANDONED REFINERY","Manufacturing/Processing/Maintenance","Oil and gas refining","OKLAHOMA CITY","OKLAHOMA","OK","40109","OKD980696470",30.67,"500 year zone","Not in sea level rise area",0,1980-07-01,1989-03-31,2008-08-21,3067,1628,16199,41509,0.61,0.32,0.63,0.16,0,0.13,243,844,35.47027,-97.47305
"SAND SPRINGS PETROCHEMICAL COMPLEX","Multiple","Multiple","SAND SPRINGS","TULSA","OK","40143","OKD980748446",28.86,"500 year zone","Not in sea level rise area",1,1980-08-01,1986-06-10,2000-03-17,2525,1067,38913,61902,0.34,0.12,0.01,0.78,0.01,0.02,240,670,36.13083,-96.10138
"TAYLOR LUMBER AND TREATING","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","SHERIDAN","YAMHILL","OR","41071","ORD009042532",71.78,"500 year zone","Not in sea level rise area",1,1979-08-01,2001-06-14,NA,96,41,36566,36566,0.4,0.14,0.01,0.8,0,0.07,4,22,45.09722,-123.42694
"REYNOLDS METALS COMPANY","Manufacturing/Processing/Maintenance","Primary metals/mineral processing","TROUTDALE","MULTNOMAH","OR","41051","ORD009412677",70.71,"500 year zone","Not in sea level rise area",1,1979-07-01,1994-12-16,NA,1210,487,43750,69940,0.31,0.18,0.03,0.67,0.07,0.19,62,256,45.5569,-122.39916
"HARBOR OIL INC.","Recycling","Waste/used oil","PORTLAND","MULTNOMAH","OR","41051","ORD071803985",48,"Not in flood zone","1 meter rise",NA,1979-07-01,2003-09-29,NA,917,492,45299,58750,0.2,0.11,0.09,0.68,0.08,0.08,35,144,45.60638,-122.69138
"PORTLAND HARBOR","Other","Contaminated sediment site with no identifiable source","PORTLAND","MULTNOMAH","OR","41051","ORSFN1002155",50,"Not in flood zone","1.5 meter rise",NA,1997-05-02,2000-12-01,NA,1481,645,50495,90777,0.36,0.14,0.06,0.68,0.05,0.14,123,304,45.61527,-122.79305
"DOUGLASSVILLE DISPOSAL","Multiple","Multiple","DOUGLASSVILLE","BERKS","PA","42011","PAD002384865",55.18,"500 year zone","Not in sea level rise area",1,1980-10-01,1983-09-08,NA,1927,721,65259,76569,0.23,0.07,0.05,0.9,0.01,0.03,59,474,40.2575,-75.73528
"AVCO LYCOMING (WILLIAMSPORT DIVISION)","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","WILLIAMSPORT","LYCOMING","PA","42081","PAD003053709",42.24,"500 year zone","Not in sea level rise area",0,1984-08-01,1990-02-21,NA,7563,3515,13750,73611,0.51,0.3,0.12,0.84,0.01,0.02,463,1505,41.24403,-77.04111
"DRAKE CHEMICAL","Manufacturing/Processing/Maintenance","Chemicals and allied products","LOCK HAVEN","CLINTON","PA","42035","PAD003058047",38.52,"500 year zone","Not in sea level rise area",1,1979-04-01,1983-09-08,NA,5309,2157,24632,58929,0.64,0.38,0.04,0.92,0.01,0.02,360,1028,41.12916,-77.44361
"STANLEY KESSLER","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","KING OF PRUSSIA","MONTGOMERY","PA","42091","PAD014269971",33.89,"100 year zone","Not in sea level rise area",0,1979-11-01,1983-09-08,NA,6938,3433,52607,150278,0.48,0.07,0.04,0.72,0.16,0.03,431,1321,40.08388,-75.355
"OHIO RIVER PARK","Waste Management","Industrial waste facility (non-generator)","NEVILLE ISLAND","ALLEGHENY","PA","42003","PAD980508816",49.27,"500 year zone","Not in sea level rise area",1,1978-08-01,1990-08-30,NA,5636,3014,32756,100689,0.46,0.15,0.09,0.82,0.01,0.03,300,1002,40.51861,-80.1525
"PRESQUE ISLE","Other","Unknown","ERIE","ERIE","PA","42049","PAD980508865",40.59,"100 year zone","Not in sea level rise area",0,1980-07-01,1983-09-08,1989-02-13,272,149,38750,38750,0.33,0.12,0.02,0.93,0.01,0.02,14,40,42.1497,-80.1333
