"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"WADE (ABM)","Multiple","Multiple","CHESTER","DELAWARE","PA","42045","PAD980539407",36.63,"Not in flood zone","1 meter rise",1,1977-04-01,1983-09-08,1989-03-23,9654,4397,16773,87200,0.62,0.38,0.79,0.1,0,0.12,644,2510,39.8337,-75.3775
"ENTERPRISE AVENUE","Waste Management","Multiple","PHILADELPHIA","PHILADELPHIA","PA","42101","PAD980552913",40.8,"100 year zone","1 meter rise",0,1979-11-01,1983-09-08,1986-03-07,1,1,Inf,-Inf,1,0,0,1,0,0,0,0,39.885,-75.2125
"BRUIN LAGOON","Waste Management","Industrial waste facility (non-generator)","BRUIN BOROUGH","BUTLER","PA","42019","PAD980712855",73.11,"100 year zone","Not in sea level rise area",1,1979-11-01,1983-09-08,1997-09-18,189,84,49133,49133,0.15,0.16,0.03,0.96,0,0.01,8,41,41.05111,-79.725
"BROWN'S BATTERY BREAKING","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","HAMBURG","BERKS","PA","42011","PAD980831812",37.34,"100 year zone","Not in sea level rise area",1,1983-10-01,1986-06-10,NA,543,227,57193,73344,0.17,0.11,0.02,0.94,0,0.03,25,105,40.51943,-76.00138
"BORIT ASBESTOS","Manufacturing/Processing/Maintenance","Chemicals and allied products","AMBLER","MONTGOMERY","PA","42091","PAD981034887",50,"100 year zone","Not in sea level rise area",NA,1985-02-01,2009-04-09,NA,9785,4037,50946,138355,0.37,0.06,0.14,0.74,0.04,0.06,567,2045,40.153335,-75.228611
"PUBLICKER INDUSTRIES INC.","Manufacturing/Processing/Maintenance","Chemicals and allied products","PHILADELPHIA","PHILADELPHIA","PA","42101","PAD981939200",59.99,"100 year zone","1.5 meter rise",0,1987-09-01,1989-10-04,2000-11-01,6156,2359,19638,48850,0.32,0.17,0.12,0.61,0.16,0.12,542,1535,39.90805,-75.13528
"LOWER DARBY CREEK AREA","Waste Management","Multiple","DARBY TWP","DELAWARE","PA","42045","PASFN0305521",50,"100 year zone","Not in sea level rise area",NA,1998-01-07,2001-06-14,NA,7946,3258,36454,75625,0.37,0.2,0.5,0.4,0.03,0.07,778,2060,39.88555,-75.26777
"PAPELERA PUERTORRIQUENA, INC.","Manufacturing/Processing/Maintenance","Plastics and rubber products","UTUADO","UTUADO","PR","72141","PRD090290685",34.69,"100 year zone","Not in sea level rise area",NA,2005-10-01,2009-09-23,NA,5202,2505,10437,20048,0.43,NA,0.03,0,0.01,1,229,1131,18.265002,-66.694724
"FRONTERA CREEK","Other","Other","RIO ABAJO","HUMACAO","PR","72069","PRD980640965",43.07,"500 year zone","Not in sea level rise area",0,1981-07-01,1983-09-08,1998-12-29,2011,902,19596,25554,0.21,NA,0.08,0,0,1,118,455,18.15195,-65.79028
"VEGA ALTA PUBLIC SUPPLY WELLS","Other","Ground water plume site with no identifiable source","VEGA ALTA","VEGA ALTA","PR","72143","PRD980763775",42.24,"100 year zone","Not in sea level rise area",0,1982-07-01,1984-09-21,NA,7747,3067,14382,22577,0.3,NA,0.08,0.01,0,0.98,482,1629,18.41806,-66.33028
"ATLANTIC FLEET WEAPONS TRAINING AREA","Other","Military/Other Ordinance","VIEQUES","VIEQUES","PR","78010","PRN000204694",NA,"100 year zone","1.5 meter rise",0,2003-10-21,2005-02-11,NA,298,194,21325,21325,0.27,NA,0.12,0.06,0.03,0.93,17,60,18.13058,-65.3106
"MAUNABO URBANO PUBLIC WELLS","Other","Ground water plume site with no identifiable source","MAUNABO","MAUNABO","PR","72095","PRN000205831",50,"100 year zone","Not in sea level rise area",0,2005-08-25,2006-09-27,NA,2572,1189,19423,20948,0.29,NA,0.37,0,0,1,138,541,18.005722,-65.905417
"SAN GERMAN GROUND WATER CONTAMINATION","Other","Ground water plume site with no identifiable source","San German","SAN GERMAN","PR","72125","PRN000205957",50,"100 year zone","Not in sea level rise area",NA,2006-09-01,2008-03-19,NA,6675,2951,14022,19247,0.41,NA,0.03,0.01,0,0.99,349,1469,18.082617,-67.033904
"CABO ROJO GROUND WATER CONTAMINATION","Other","Ground water plume site with no identifiable source","CABO ROJO","CABO ROJO","PR","72023","PRN000206319",50,"500 year zone","Not in sea level rise area",NA,2007-03-15,2011-03-10,NA,7332,3373,11466,22488,0.39,NA,0.03,0,0,1,427,1416,18.090557,-67.148058
"THE BATTERY RECYCLING COMPANY","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","ARECIBO","ARECIBO","PR","72013","PRR000004655",NA,"100 year zone","Not in sea level rise area",NA,NA,2017-08-02,NA,2743,1110,16037,26703,0.27,NA,0.04,0,0.02,1,133,633,18.449452,-66.692605
"ROSE HILL REGIONAL LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","SOUTH KINGSTOWN","WASHINGTON","RI","44009","RID980521025",38.11,"100 year zone","Not in sea level rise area",1,1981-06-01,1989-10-04,NA,2150,905,60129,69354,0.37,0.12,0.02,0.88,0.02,0.03,106,420,41.47083,-71.49166
"DAVIS LIQUID WASTE","Waste Management","Industrial waste facility (non-generator)","SMITHFIELD","PROVIDENCE","RI","44007","RID980523070",47.25,"100 year zone","Not in sea level rise area",0,1979-07-01,1983-09-08,NA,1672,630,80671,92306,0.14,0.03,0.01,0.98,0.01,0.01,44,278,41.92221,-71.57776
"CENTREDALE MANOR RESTORATION PROJECT","Multiple","Multiple","NORTH PROVIDENCE","PROVIDENCE","RI","44007","RID981203755",70.71,"100 year zone","Not in sea level rise area",1,1986-04-10,2000-02-04,NA,12311,5978,42188,67465,0.47,0.1,0.04,0.86,0.03,0.06,484,2089,41.85766,-71.48725
"PARRIS ISLAND MARINE CORPS RECRUIT DEPOT","Other","Military/Other Ordinance","PARRIS ISLAND","BEAUFORT","SC","45013","SC6170022762",50,"100 year zone","Not in sea level rise area",1,1988-02-12,1994-12-16,NA,791,101,45125,57926,0.56,0.12,0.17,0.61,0.02,0.16,40,99,32.3528,-80.7031
"MACALLOY CORPORATION","Manufacturing/Processing/Maintenance","Primary metals/mineral processing","NORTH CHARLESTON","CHARLESTON","SC","45019","SCD003360476",50,"100 year zone","1.5 meter rise",0,1998-03-25,2000-02-04,NA,2632,1225,16906,21580,0.72,0.42,0.84,0.14,0.01,0.01,210,696,32.83805,-79.95119
"AMERICAN CREOSOTE WORKS, INC. (JACKSON PLANT)","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","JACKSON","MADISON","TN","47113","TND007018799",35.22,"100 year zone","Not in sea level rise area",1,1980-08-01,1986-06-10,NA,2594,1327,9846,38140,0.68,0.43,0.54,0.4,0.01,0.02,138,471,35.61,-88.8355
"TENNESSEE PRODUCTS","Manufacturing/Processing/Maintenance","Coke production","CHATTANOOGA","HAMILTON","TN","47065","TND071516959",NA,"500 year zone","Not in sea level rise area",0,1981-06-01,1995-09-29,NA,3697,1774,14873,41414,0.64,0.51,0.74,0.19,0,0.04,283,1172,34.99888,-85.31444
"LEWISBURG DUMP","Waste Management","Multiple","LEWISBURG","MARSHALL","TN","47117","TND980729115",33.45,"500 year zone","Not in sea level rise area",0,1981-01-01,1983-09-08,1996-02-21,271,124,26394,41154,0.27,0.16,0.08,0.88,0,0.03,13,57,35.48138,-86.78416
"AMNICOLA DUMP","Waste Management","Co-disposal landfill (municipal and industrial)","CHATTANOOGA","HAMILTON","TN","47065","TND980729172",40.91,"100 year zone","Not in sea level rise area",0,1973-01-01,1983-09-08,1996-04-30,5791,2715,16857,65170,0.51,0.26,0.53,0.44,0.01,0.01,343,1376,35.0625,-85.27638
"CLINCH RIVER CORPORATION","Manufacturing/Processing/Maintenance","Lumber and wood products/pulp and paper","HARRIMAN","ROANE","TN","47145","TND987768587",48.03,"100 year zone","Not in sea level rise area",NA,1990-05-30,2013-05-24,NA,939,468,24083,31679,0.43,0.28,0.04,0.91,0.01,0.02,65,204,35.931945,-84.539169
"PATRICK BAYOU","Other","Contaminated sediment site with no identifiable source","DEER PARK","HARRIS","TX","48201","TX0000605329",50,"100 year zone","1.5 meter rise",NA,1993-01-01,2002-09-05,NA,496,192,37188,49417,0.44,0.23,0.04,0.49,0,0.45,38,122,29.73194,-95.11458
"STAR LAKE CANAL","Other","Contaminated sediment site with no identifiable source","PORT NECHES","JEFFERSON","TX","48245","TX0001414341",50,"Not in flood zone","1 meter rise",NA,1996-07-23,2000-07-27,NA,2218,945,26250,49205,0.3,0.21,0.08,0.75,0.03,0.12,141,547,29.975,-93.917
"TEXARKANA WOOD PRESERVING CO.","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","TEXARKANA","BOWIE","TX","48037","TXD008056152",40.19,"100 year zone","Not in sea level rise area",1,1984-12-01,1986-06-10,NA,2230,938,20106,43284,0.54,0.37,0.51,0.41,0,0.06,207,615,33.40833,-94.05333
"ALCOA (POINT COMFORT)/LAVACA BAY","Manufacturing/Processing/Maintenance","Chemicals and allied products","POINT COMFORT","CALHOUN","TX","48057","TXD008123168",50,"100 year zone","Not in sea level rise area",1,1980-11-01,1994-02-23,NA,25,20,60000,60000,0.2,0.04,0.04,0.68,0,0.2,1,5,28.65083,-96.56222
"GULFCO MARINE MAINTENANCE","Other","Transportation (e.g., railroad yards, airport, barge docking site)","FREEPORT","BRAZORIA","TX","48039","TXD055144539",50,"Not in flood zone","1 meter rise",0,1981-01-01,2003-04-30,NA,75,76,43333,44818,0.22,0.19,0.03,0.73,0,0.21,4,17,28.96684,-95.28965
"TEX-TIN CORP.","Manufacturing/Processing/Maintenance","Primary metals/mineral processing","TEXAS CITY","GALVESTON","TX","48167","TXD062113329",50,"Not in flood zone","1.5 meter rise",1,1979-11-01,1990-08-30,NA,1078,616,29094,73686,0.26,0.18,0.22,0.51,0.01,0.25,69,211,29.35666,-94.94166
"SHERIDAN DISPOSAL SERVICES","Waste Management","Industrial waste facility (non-generator)","HEMPSTEAD","WALLER","TX","48473","TXD062132147",30.67,"500 year zone","Not in sea level rise area",1,1979-11-01,1989-03-31,NA,152,68,39198,52140,0.31,0.25,0.37,0.38,0,0.25,9,34,30.2074,-96.1357
"PALMER BARGE LINE","Other","Transportation (e.g., railroad yards, airport, barge docking site)","PORT ARTHUR","JEFFERSON","TX","48245","TXD068104561",50,"100 year zone","Not in sea level rise area",0,1999-10-13,2000-07-27,2012-02-06,524,236,26250,57023,0.42,0.37,0.28,0.39,0.07,0.24,47,164,29.96145,-93.85508
"FALCON REFINERY","Manufacturing/Processing/Maintenance","Oil and gas refining","INGLESIDE","SAN PATRICIO","TX","48409","TXD086278058",50,"Not in flood zone","1.5 meter rise",NA,1987-06-01,2011-09-16,NA,1077,425,58858,92830,0.26,0.12,0,0.55,0.01,0.4,47,305,27.86072,-97.1793
"DIXIE OIL PROCESSORS, INC.","Recycling","Multiple","FRIENDSWOOD","HARRIS","TX","48201","TXD089793046",34.21,"100 year zone","Not in sea level rise area",0,1982-05-01,1989-10-04,2006-08-21,7775,2473,51680,97401,0.23,0.1,0.21,0.27,0.17,0.36,606,2174,29.5686,-95.2047
"STATE MARINE OF PORT ARTHUR","Other","Transportation (e.g., railroad yards, airport, barge docking site)","JEFFERSON COUNTY","JEFFERSON","TX","48245","TXD099801102",48,"100 year zone","1 meter rise",0,1980-09-15,1998-07-28,2012-02-06,639,287,26250,57023,0.47,0.41,0.31,0.31,0.08,0.28,62,209,29.96083,-93.85916
"SIKES DISPOSAL PITS","Waste Management","Industrial waste facility (non-generator)","CROSBY","HARRIS","TX","48201","TXD980513956",61.62,"100 year zone","Not in sea level rise area",0,1979-11-01,1983-09-08,NA,1172,425,39432,73250,0.23,0.17,0.18,0.49,0.01,0.29,104,337,29.88166,-95.08666
"FRENCH, LTD.","Waste Management","Industrial waste facility (non-generator)","CROSBY","HARRIS","TX","48201","TXD980514814",63.33,"100 year zone","Not in sea level rise area",NA,1979-01-01,1983-09-08,NA,852,305,39432,73250,0.3,0.23,0.36,0.34,0.01,0.26,71,250,29.8796,-95.0739
"HIGHLANDS ACID PIT","Waste Management","Other","HIGHLANDS","HARRIS","TX","48201","TXD980514996",37.77,"100 year zone","1.5 meter rise",0,1979-03-01,1983-09-08,NA,2939,1126,41017,53571,0.25,0.18,0.05,0.59,0,0.35,204,845,29.8141,-95.0786
"KOPPERS CO., INC. (TEXARKANA PLANT)","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","TEXARKANA","BOWIE","TX","48037","TXD980623904",31.31,"100 year zone","Not in sea level rise area",0,1979-11-01,1986-06-10,NA,3343,1475,20106,43284,0.59,0.4,0.63,0.27,0,0.07,334,972,33.41666,-94.065
"BRIO REFINING, INC.","Multiple","Multiple","FRIENDSWOOD","HARRIS","TX","48201","TXD980625453",50.38,"100 year zone","Not in sea level rise area",1,1982-11-01,1989-03-31,2006-12-28,8092,2552,51680,86344,0.26,0.11,0.21,0.25,0.16,0.38,628,2314,29.57,-95.20333
"MOTCO, INC.","Multiple","Multiple","LA MARQUE","GALVESTON","TX","48167","TXD980629851",NA,"Not in flood zone","1 meter rise",1,1979-01-01,1983-09-08,NA,1347,890,27813,73686,0.2,0.12,0.14,0.69,0.01,0.14,52,203,29.33471,-94.93333
"BAILEY WASTE DISPOSAL","Waste Management","Industrial waste facility (non-generator)","BRIDGE CITY","ORANGE","TX","48361","TXD980864649",53.42,"100 year zone","1 meter rise",1,1979-11-01,1986-06-10,2007-10-15,773,302,26250,68532,0.23,0.19,0.08,0.73,0.03,0.13,49,230,29.99055,-93.87916
"MALONE SERVICE CO - SWAN LAKE PLANT","Waste Management","Industrial waste facility (non-generator)","TEXAS CITY","GALVESTON","TX","48167","TXD980864789",50,"Not in flood zone","1 meter rise",0,1979-11-01,2001-06-14,NA,411,200,29094,61393,0.31,0.25,0.34,0.27,0,0.36,48,107,29.33305,-94.90277
"JONES ROAD GROUND WATER PLUME","Other","Ground water plume site with no identifiable source","HOUSTON","HARRIS","TX","48201","TXN000605460",46.5,"500 year zone","Not in sea level rise area",0,2002-04-01,2003-09-29,NA,17326,7783,50718,126932,0.63,0.13,0.24,0.34,0.11,0.3,978,4253,29.90465,-95.58431
"SAN JACINTO RIVER WASTE PITS","Waste Management","Other","Channelview","HARRIS","TX","48201","TXN000606611",50,"100 year zone","1.5 meter rise",NA,2005-04-14,2008-03-19,NA,2081,781,37188,59361,0.25,0.18,0.06,0.55,0.01,0.37,159,589,29.7944,-95.0625
"EAST 67TH STREET GROUND WATER PLUME","Other","Other","ODESSA","ECTOR","TX","48135","TXN000606614",50,"100 year zone","Not in sea level rise area",0,2005-04-18,2007-03-07,NA,5462,1961,39432,93281,0.29,0.16,0.06,0.5,0.01,0.41,474,1649,31.908611,-102.385833
"US OIL RECOVERY","Recycling","Waste/used oil","PASADENA","HARRIS","TX","48201","TXN000607093",50,"100 year zone","Not in sea level rise area",NA,2010-07-05,2012-09-18,NA,5999,1928,26950,48354,0.58,0.27,0.02,0.09,0,0.87,586,1971,29.71774,-95.221053
"MAIN STREET GROUND WATER PLUME","Other","Ground water plume site with no identifiable source","BURNET","BURNET","TX","48053","TXN000607441",NA,"100 year zone","Not in sea level rise area",NA,NA,2015-09-30,NA,949,341,43173,43173,0.51,0.24,0.03,0.73,0,0.21,68,249,30.737148,-98.22544
"EUREKA MILLS","Mining","Metals","EUREKA","JUAB","UT","49023","UT0002240158",50,"100 year zone","Not in sea level rise area",1,1997-12-15,2002-09-05,NA,7,2,58367,63292,0,0.14,0,0.86,0,0,0,2,39.95555,-112.11555
"MARINE CORPS COMBAT DEVELOPMENT COMMAND","Other","Military/Other Ordinance","QUANTICO","PRINCE WILLIAM","VA","51153","VA1170024722",50,"Not in flood zone","1 meter rise",0,1981-05-01,1994-05-31,NA,1468,370,53167,120573,0.86,0.06,0.12,0.56,0.04,0.19,239,455,38.52166,-77.29
"NORFOLK NAVAL SHIPYARD","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","PORTSMOUTH","PORTSMOUTH CITY","VA","51552","VA1170024813",50,"100 year zone","Not in sea level rise area",0,1983-04-01,1999-07-22,NA,6976,2965,13988,43698,0.64,0.33,0.79,0.15,0,0.03,360,1857,36.82194,-76.29472
"LANGLEY AIR FORCE BASE/NASA LANGLEY RESEARCH CENTER","Other","Research, development, and testing facility","HAMPTON","HAMPTON CITY","VA","51650","VA2800005033",50,"Not in flood zone","1 meter rise",1,1989-10-17,1994-05-31,NA,4005,1580,36850,99167,0.48,0.16,0.4,0.47,0.05,0.08,315,931,37.06999,-76.35861
"ST. JULIENS CREEK ANNEX (U.S. NAVY)","Manufacturing/Processing/Maintenance","Ordnance production","CHESAPEAKE","CHESAPEAKE CITY","VA","51550","VA5170000181",50,"100 year zone","1.5 meter rise",1,1981-06-01,2000-07-27,NA,7321,3193,28482,50359,0.57,0.19,0.4,0.49,0.02,0.06,662,1999,36.79416,-76.31222
"FORT EUSTIS (US ARMY)","Other","Transportation (e.g., railroad yards, airport, barge docking site)","NEWPORT NEWS","NEWPORT NEWS CITY","VA","51700","VA6210020321",50,"Not in flood zone","1 meter rise",1,1979-12-01,1994-12-16,NA,1862,563,49750,98750,0.2,0.05,0.17,0.65,0.04,0.08,128,409,37.105,-76.56833
"NAVAL SURFACE WARFARE CENTER - DAHLGREN","Waste Management","Industrial waste facility (non-generator)","DAHLGREN","KING GEORGE","VA","51099","VA7170024684",50.03,"Not in flood zone","1 meter rise",1,1979-12-01,1992-10-14,NA,324,124,90961,90961,0.4,0.05,0.21,0.6,0.02,0.1,31,90,38.32666,-77.02694
"L.A. CLARKE & SON","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","SPOTSYLVANIA","SPOTSYLVANIA","VA","51177","VAD007972482",34.24,"100 year zone","Not in sea level rise area",0,1983-04-01,1986-06-10,NA,3185,1105,66520,87539,0.28,0.1,0.19,0.61,0.04,0.13,196,920,38.23611,-77.4325
"ABEX CORP.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","PORTSMOUTH","PORTSMOUTH CITY","VA","51552","VAD980551683",36.53,"100 year zone","1.5 meter rise",0,1981-06-01,1990-08-30,NA,10707,4829,13988,55543,0.65,0.37,0.8,0.15,0.01,0.02,795,2924,36.8265,-76.3045
"ATLANTIC WOOD INDUSTRIES, INC.","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","PORTSMOUTH","PORTSMOUTH CITY","VA","51552","VAD990710410",40.77,"100 year zone","1 meter rise",1,1980-08-01,1990-02-21,NA,5111,2121,21513,43767,0.56,0.22,0.46,0.44,0.02,0.06,425,1442,36.8065,-76.299
"PECK IRON AND METAL","Other","Spill or other one-time event","PORTSMOUTH","PORTSMOUTH CITY","VA","51552","VAN000306115",48.52,"Not in flood zone","1.5 meter rise",NA,2008-11-06,2009-11-04,NA,10598,5565,44000,94048,0.66,0.15,0.14,0.75,0.04,0.04,573,1410,36.86,-76.3097
"ISLAND CHEMICAL CORP/VIRGIN ISLANDS CHEMICAL CORP.","Manufacturing/Processing/Maintenance","Chemicals and allied products","CHRISTIANSTED","ST. CROIX","VI","78010","VID980651095",50,"500 year zone","Not in sea level rise area",0,1989-01-31,1996-06-17,2009-10-16,0,0,Inf,-Inf,NA,NA,NA,NA,NA,NA,0,0,17.70972,-64.79083
"PINE STREET CANAL","Manufacturing/Processing/Maintenance","Coal gasification","BURLINGTON","CHITTENDEN","VT","50007","VTD980523062",NA,"100 year zone","Not in sea level rise area",1,1981-01-01,1983-09-08,NA,12245,4999,30066,67571,0.66,0.26,0.03,0.87,0.03,0.03,391,1398,44.46666,-73.21806
"LOWER DUWAMISH WATERWAY","Other","Contaminated sediment site with no identifiable source","SEATTLE","KING","WA","53033","WA0002329803",50,"Not in flood zone","1 meter rise",NA,1998-03-25,2001-09-13,NA,7803,3296,35425,79432,0.55,0.21,0.05,0.45,0.15,0.21,651,1953,47.5378,-122.32789
"NAVAL UNDERSEA WARFARE ENGINEERING STATION (4 WASTE AREAS)","Manufacturing/Processing/Maintenance","Ordnance production","KEYPORT","KITSAP","WA","53035","WA1170023419",33.6,"Not in flood zone","1 meter rise",1,1981-06-01,1989-10-04,NA,1281,586,60756,83468,0.22,0.08,0,0.85,0.03,0.04,54,222,47.6946,-122.622
"PORT HADLOCK DETACHMENT (USNAVY)","Other","Multiple","INDIAN ISLAND","JEFFERSON","WA","53031","WA4170090001",50,"Not in flood zone","1 meter rise",1,1981-06-01,1994-05-31,2005-06-14,282,136,46016,46016,0.27,0.14,0,0.91,0.01,0.04,16,50,48.08347,-122.72958
"NAVAL AIR STATION, WHIDBEY ISLAND (SEAPLANE BASE)","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","WHIDBEY ISLAND","ISLAND","WA","53029","WA6170090058",39.64,"100 year zone","Not in sea level rise area",0,1984-09-12,1990-02-21,1995-09-21,1673,640,55504,70463,0.89,0.09,0.09,0.62,0.07,0.15,278,582,48.29945,-122.6133
"OLD NAVY DUMP/MANCHESTER LABORATORY (USEPA/NOAA)","Manufacturing/Processing/Maintenance","Other","MANCHESTER","KITSAP","WA","53035","WA8680030931",50,"100 year zone","1 meter rise",1,1987-03-01,1994-05-31,NA,2226,966,65484,120100,0.18,0.16,0.01,0.81,0.06,0.04,164,505,47.57444,-122.54805
"PACIFIC SOUND RESOURCES","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","SEATTLE","KING","WA","53033","WAD009248287",70.71,"Not in flood zone","1 meter rise",1,1979-07-01,1994-05-31,NA,7462,3878,67277,77808,0.42,0.07,0.04,0.76,0.09,0.07,418,1325,47.58233,-122.36666
"WYCKOFF CO./EAGLE HARBOR","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","BAINBRIDGE ISLAND","KITSAP","WA","53035","WAD009248295",32.55,"100 year zone","1 meter rise",1,1979-07-01,1987-07-22,NA,3690,1790,89575,120100,0.35,0.07,0.01,0.88,0.03,0.05,135,799,47.62166,-122.5167
"NORTHWEST TRANSFORMER (SOUTH HARKNESS STREET)","Recycling","Other","EVERSON","WHATCOM","WA","53073","WAD027315621",30.56,"500 year zone","Not in sea level rise area",0,1981-03-05,1990-02-21,1997-09-26,433,158,58829,60551,0.23,0.11,0,0.76,0.01,0.17,38,125,48.9197,-122.3431
"FRONTIER HARD CHROME, INC.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","VANCOUVER","CLARK","WA","53011","WAD053614988",57.93,"100 year zone","Not in sea level rise area",1,1975-08-01,1983-09-08,NA,6767,3144,28016,65875,0.61,0.26,0.02,0.7,0.04,0.16,582,1383,45.6215,-122.644
"AMERICAN CROSSARM & CONDUIT CO.","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","CHEHALIS","LEWIS","WA","53041","WAD057311094",30.44,"100 year zone","Not in sea level rise area",0,1980-11-20,1989-10-04,NA,2725,1156,31154,38795,0.56,0.22,0.06,0.78,0,0.11,244,715,46.65693,-122.9689
"TULALIP LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","MARYSVILLE","SNOHOMISH","WA","53061","WAD980639256",52.08,"100 year zone","1 meter rise",1,1979-11-01,1995-04-25,2002-09-18,3410,1382,40192,88333,0.63,0.21,0.01,0.72,0.05,0.13,226,878,48.04166,-122.18222
"HARBOR ISLAND (LEAD)","Recycling","Batteries/scrap metals/secondary smelting/precious metal recovery","SEATTLE","KING","WA","53033","WAD980722839",41.79,"Not in flood zone","1 meter rise",1,1980-01-01,1983-09-08,NA,3904,2021,67277,70458,0.43,0.09,0.07,0.62,0.14,0.11,262,549,47.5794,-122.3522
"COMMENCEMENT BAY, NEAR SHORE/TIDE FLATS","Manufacturing/Processing/Maintenance","Chemicals and allied products","TACOMA","PIERCE","WA","53053","WAD980726368",42.2,"100 year zone","1 meter rise",1,1979-11-01,1983-09-08,NA,340,183,68487,78382,0.58,0.29,0.01,0.61,0.09,0.26,0,17,47.26666,-122.41666
"LOCKHEED WEST SEATTLE","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","SEATTLE","KING","WA","53033","WAN001002655",50,"Not in flood zone","1 meter rise",NA,2005-11-15,2007-03-07,NA,5199,2795,67277,77808,0.44,0.07,0.05,0.73,0.1,0.08,301,836,47.5858,-122.3635
"NORTHERN ENGRAVING CO.","Waste Management","Industrial waste facility (non-generator)","SPARTA","MONROE","WI","55081","WID006183826",38.75,"100 year zone","Not in sea level rise area",1,1981-06-01,1984-09-21,1997-10-29,1990,911,46408,60472,0.4,0.19,0,0.89,0,0.08,149,465,43.93443,-90.81445
"MADISON METROPOLITAN SEWERAGE DISTRICT LAGOONS","Waste Management","Other","BLOOMING GROVE","DANE","WI","55025","WID078934403",32.65,"100 year zone","Not in sea level rise area",1,1983-06-01,1990-02-21,NA,4030,1924,37051,70878,0.54,0.29,0.13,0.45,0.1,0.26,326,1146,43.03431,-89.34628
"WAUSAU GROUND WATER CONTAMINATION","Other","Ground water plume site with no identifiable source","WAUSAU","MARATHON","WI","55073","WID980993521",28.91,"100 year zone","Not in sea level rise area",0,1984-06-01,1986-06-10,NA,7191,3301,24566,61531,0.44,0.17,0.01,0.78,0.13,0.05,525,1698,44.9773,-89.6292
"SHEBOYGAN HARBOR & RIVER","Other","Contaminated sediment site with no identifiable source","SHEBOYGAN","SHEBOYGAN","WI","55117","WID980996367",33.79,"100 year zone","Not in sea level rise area",0,1984-11-01,1986-06-10,NA,6713,3215,25279,56594,0.54,0.23,0.03,0.71,0.07,0.15,497,1701,43.74944,-87.70075
"FIKE CHEMICAL, INC.","Manufacturing/Processing/Maintenance","Chemicals and allied products","NITRO","PUTNAM","WV","54079","WVD047989207",36.3,"500 year zone","Not in sea level rise area",1,1979-11-01,1983-09-08,NA,1576,759,25449,66862,0.28,0.12,0.01,0.96,0,0.01,106,347,38.42666,-81.8425
"NORTH 25TH STREET GLASS AND ZINC","Manufacturing/Processing/Maintenance","Primary metals/mineral processing","CLARKSBURG","HARRISON","WV","54033","WVN000306876",NA,"100 year zone","Not in sea level rise area",NA,NA,2016-09-09,NA,3036,1487,25125,48486,0.33,0.24,0.02,0.95,0,0.01,199,635,39.297053,-80.357433
"BAXTER/UNION PACIFIC TIE TREATING","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","LARAMIE","ALBANY","WY","56001","WYD061112470",37.24,"100 year zone","Not in sea level rise area",0,1979-10-01,1983-09-08,1999-12-06,1611,797,27539,58977,0.51,0.26,0,0.85,0.02,0.12,99,282,41.295,-105.6017
